discord,retailer,identifier,shortname,name
#gpu,bestbuy.ca,14950588,3080,MSI NVIDIA GeForce RTX 3080 VENTUS 3X 10GB GDDR6X Video Card
#gpu,bestbuy.ca,14953247,3090,ASUS TUF Gaming NVIDIA GeForce RTX 3090 24GB GDDR6X Video Card
#gpu,bestbuy.ca,14953248,3080,ASUS TUF Gaming NVIDIA GeForce RTX 3080 10GB GDDR6X Video Card
#gpu,bestbuy.ca,14953249,3080,ZOTAC NVIDIA GeForce RTX 3080 Trinity 10GB GDDR6X Video Card
#gpu,bestbuy.ca,14953250,3090,ZOTAC NVIDIA GeForce RTX 3090 Trinity 24GB GDDR6X Video Card
#gpu,bestbuy.ca,14954116,3080,ASUS ROG Strix NVIDIA GeForce RTX 3080 10GB GDDR6X Video Card
#gpu,bestbuy.ca,14954117,3090,ASUS ROG Strix NVIDIA GeForce RTX 3090 24GB GDDR6X Video Card
#gpu,bestbuy.ca,14966477,3090,MSI NVIDIA GeForce RTX 3090 VENTUS 3X OC 24GB GDDR6X Video Card
#gpu,bestbuy.ca,14967857,3090,EVGA NVIDIA GeForce RTX 3090 XC3 Ultra Gaming 24GB GDDR6X Video Card
#gpu,bestbuy.ca,15000077,3080,ZOTAC NVIDIA GeForce RTX 3080 Trinity OC 10GB GDDR6X Video Card
#gpu,bestbuy.ca,15000078,3070,ZOTAC NVIDIA GeForce RTX 3070 Twin Edge OC 8GB GDDR6X Video Card
#gpu,bestbuy.ca,15000079,3070,ZOTAC NVIDIA GeForce RTX 3070 Twin Edge 8GB GDDR6X Video Card
#gpu,bestbuy.ca,15038016,3070,MSI NVIDIA GeForce RTX 3070 VENTUS 3X OC 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15053085,3070,ASUS ROG Strix NVIDIA GeForce RTX 3070 OC 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15053087,3070,ASUS TUF Gaming NVIDIA GeForce RTX 3070 2X OC 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15078017,3070,NVIDIA GeForce RTX 3070 8GB GDDR6 Video Card - Only at Best Buy
#gpu,bestbuy.ca,15084753,3080,EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB GDDR6X Video Card
#gpu,bestbuy.ca,15147122,3070,EVGA GeForce RTX 3070 XC3 Ultra 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15166285,3060 Ti,NVIDIA GeForce RTX 3060 Ti 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15178453,3060 Ti,MSI NVIDIA GeForce RTX 3060 Ti VENTUS 2X OC 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15201200,3060 Ti,ASUS TUF Gaming GeForce RTX 3060 Ti OC 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15229237,3060 Ti,EVGA NVIDIA GeForce RTX 3060 Ti FTW3 Ultra 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15268899,3070,ZOTAC NVIDIA GeForce RTX 3070 AMP Holo 8GB GDDR6 Video Card
#gpu,bestbuy.ca,15309503,3060,ZOTAC NVIDIA GeForce RTX 3060 Twin Edge OC 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15309504,3060,ZOTAC NVIDIA GeForce RTX 3060 Twin Edge 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15309513,3060,ASUS TUF Gaming GeForce RTX 3060 OC 12GB GDDR6X Video Card
#gpu,bestbuy.ca,15309514,3060,ASUS ROG Strix GeForce RTX 3060 OC 12GB GDDR6X Video Card
#gpu,bestbuy.ca,15317226,3060,MSI NVIDIA GeForce RTX 3060 VENTUS 2X OC 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15318940,3060,EVGA NVIDIA GeForce RTX 3060 XC 12GB DDDR6 Video Card
#gpu,bestbuy.ca,15324508,3060,MSI NVIDIA GeForce RTX 3060 Ventus 3X 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15373182,3060,EVGA GeForce RTX 3060 XC 12GB DDDR6 Video Card
#gpu,bestbuy.ca,15441686,3060,ZOTAC NVIDIA GeForce RTX 3060 Twin Edge OC 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15463567,3080,NVIDIA GeForce RTX 3080 10GB GDDR6X Video Card
#gpu,bestbuy.ca,15463568,3090,NVIDIA GeForce RTX 3090 24GB GDDR6X Video Card
#gpu,bestbuy.ca,15493494,3080 Ti,ASUS Rog Strix NVIDIA GeForce RTX 3080 Ti OC 12GB GDDR6X Video Card
#gpu,bestbuy.ca,15507363,3080 Ti,ZOTAC NVIDIA GeForce RTX 3080 Ti AMP Holo 12GB GDDR6X Video Card
#gpu,bestbuy.ca,15524483,3080 Ti,MSI NVIDIA GeForce RTX 3080 Ti Ventus 3X OC 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15524484,3080 Ti,MSI NVIDIA GeForce RTX 3080 Ti Gaming X Trio 12GB GDDR6 Video Card
#gpu,bestbuy.ca,15524485,3080 Ti,EVGA GeForce RTX 3080 Ti FTW3 Ultra 12GB GDDR6X Video Card
#gpu,bestbuy.ca,15530045,3080 Ti,NVIDIA GeForce RTX 3080 Ti 12GB GDDR6X Video Card
#gpu,bestbuy.ca,15459506,3070,MSI NVIDIA GeForce RTX 3070 SUPRIM X 8GB GDDR6 Video Card
#gpu,memoryexpress.com,MX00114155,3090,EVGA GeForce RTX 3090 FTW3 ULTRA 24GB
#gpu,memoryexpress.com,MX00114093,3090,ASUS ROG STRIX RTX3090 OC GAMING
#gpu,memoryexpress.com,MX00115133,3090,ASUS ROG STRIX RTX3090 OC
#gpu,memoryexpress.com,MX00114908,3090,MSI SUPRIM X GeForce RTX 3090 24GB
#gpu,memoryexpress.com,MX00113959,3090,MSI GAMING X TRIO GeForce RTX 3090 24GB
#gpu,memoryexpress.com,MX00117884,3060 Ti,EVGA GeForce RTX 3060 Ti FTW3 ULTRA GAMING (LHR) 8GB
